ParticipantID,TrialNum,Vis,TruePercent,ReportedPercent
P09,1,stacked,63,65
P09,2,bar,48,50
P09,3,bar,81,70
P09,4,donut,37,35
P09,5,stacked,92,95
P09,6,donut,54,55
P09,7,donut,71,60
P09,8,bar,25,26
P09,9,stacked,67,70
P09,10,donut,43,40
P09,11,bar,86,85
P09,12,stacked,30,28
P09,13,donut,58,60
P09,14,bar,76,78
P09,15,donut,22,20
P09,16,stacked,100,100
P09,17,bar,51,50
P09,18,donut,69,55
P09,19,stacked,44,42
P09,20,bar,39,40
P09,21,donut,88,90
P09,22,donut,62,65
P09,23,stacked,35,35
P09,24,bar,97,95
P09,25,donut,47,45
P09,26,stacked,73,75
P09,27,bar,28,30
P09,28,donut,82,75
P09,29,stacked,55,52
P09,30,bar,64,50
P09,31,donut,45,48
P09,32,stacked,89,90
P09,33,bar,32,35
P09,34,donut,77,65
P09,35,stacked,41,40
P09,36,bar,59,60
P09,37,donut,66,68
P09,38,bar,20,20
P09,39,stacked,79,80
P09,40,donut,51,50
P09,41,stacked,38,40
P09,42,bar,85,85
P09,43,donut,23,25
P09,44,stacked,94,95
P09,45,bar,57,58
P09,46,donut,72,75
P09,47,stacked,49,40
P09,48,bar,36,35
P09,49,donut,68,70
P09,50,stacked,84,85
P09,51,bar,42,40
P09,52,donut,56,58
P09,53,stacked,61,60
P09,54,bar,99,100
P09,55,donut,34,35
P09,56,stacked,75,78
P09,57,bar,52,50
P09,58,donut,87,90
P09,59,stacked,29,30
P09,60,bar,70,72
