ParticipantID,TrialNum,Vis,TruePercent,ReportedPercent
P06,1,stacked,12,13
P06,2,bar,41,40
P06,3,bar,13,15
P06,4,bar,69,70
P06,5,stacked,15,15
P06,6,donut,55,67
P06,7,bar,71,67
P06,8,stacked,13,15
P06,9,donut,81,85
P06,10,donut,75,80
P06,11,donut,32,30
P06,12,donut,41,33
P06,13,bar,90,90
P06,14,stacked,28,25
P06,15,donut,11,13
P06,16,bar,32,33
P06,17,donut,52,50
P06,18,bar,59,60
P06,19,donut,92,90
P06,20,bar,85,85
P06,21,donut,15,14
P06,22,donut,92,99
P06,23,stacked,28,30
P06,24,bar,83,80
P06,25,donut,78,80
P06,26,bar,89,88
P06,27,bar,55,60
P06,28,bar,90,83
P06,29,donut,39,31
P06,30,bar,14,14
P06,31,donut,18,20
P06,32,stacked,100,95
P06,33,donut,51,50
P06,34,stacked,86,70
P06,35,stacked,40,33
P06,36,bar,83,80
P06,37,stacked,57,55
P06,38,bar,18,21
P06,39,bar,77,75
P06,40,stacked,45,40
P06,41,stacked,37,35
P06,42,bar,39,40
P06,43,donut,90,97
P06,44,stacked,20,15
P06,45,donut,79,80
P06,46,bar,83,90
P06,47,stacked,31,25
P06,48,stacked,71,70
P06,49,bar,48,45
P06,50,bar,99,98
P06,51,stacked,37,33
P06,52,donut,69,67
P06,53,stacked,95,92
P06,54,donut,90,84
P06,55,stacked,54,60
P06,56,donut,28,25
P06,57,donut,86,95
P06,58,stacked,41,45
P06,59,stacked,23,20
P06,60,stacked,26,20
