ParticipantID,TrialNum,Vis,TruePercent,ReportedPercent
P02,1,donut,78,80
P02,2,stacked,71,70
P02,3,stacked,46,55
P02,4,donut,86,90
P02,5,stacked,98,95
P02,6,stacked,35,35
P02,7,bar,20,20
P02,8,donut,86,90
P02,9,donut,72,75
P02,10,donut,49,40
P02,11,bar,62,60
P02,12,donut,78,50
P02,13,donut,61,65
P02,14,stacked,24,25
P02,15,stacked,100,95
P02,16,bar,16,15
P02,17,bar,68,70
P02,18,donut,61,40
P02,19,stacked,30,20
P02,20,bar,44,45
P02,21,bar,61,70
P02,22,bar,45,45
P02,23,bar,73,75
P02,24,bar,97,95
P02,25,stacked,69,65
P02,26,stacked,42,40
P02,27,stacked,32,35
P02,28,donut,36,35
P02,29,donut,48,33
P02,30,stacked,82,90
P02,31,bar,98,97
P02,32,bar,35,40
P02,33,bar,27,33
P02,34,stacked,19,20
P02,35,donut,42,30
P02,36,bar,93,90
P02,37,donut,32,25
P02,38,stacked,47,40
P02,39,donut,42,40
P02,40,stacked,26,30
P02,41,stacked,44,40
P02,42,donut,68,75
P02,43,stacked,94,100
P02,44,donut,46,45
P02,45,donut,57,35
P02,46,bar,63,70
P02,47,donut,29,25
P02,48,donut,46,50
P02,49,bar,66,70
P02,50,stacked,72,80
P02,51,bar,43,40
P02,52,bar,70,66
P02,53,bar,14,15
P02,54,donut,99,95
P02,55,stacked,87,85
P02,56,bar,38,40
P02,57,stacked,22,25
P02,58,bar,43,45
P02,59,donut,86,90
P02,60,stacked,62,70
