ParticipantID,TrialNum,Vis,TruePercent,ReportedPercent
P01,1,stacked,16,10
P01,2,bar,85,90
P01,3,donut,26,15
P01,4,donut,52,25
P01,5,bar,67,70
P01,6,donut,36,15
P01,7,donut,97,95
P01,8,donut,57,60
P01,9,donut,87,100
P01,10,bar,64,60
P01,11,donut,58,35
P01,12,bar,62,60
P01,13,stacked,100,100
P01,14,stacked,72,50
P01,15,bar,52,55
P01,16,bar,18,10
P01,17,stacked,52,40
P01,18,donut,59,65
P01,19,stacked,96,70
P01,20,stacked,40,20
P01,21,bar,76,70
P01,22,bar,51,45
P01,23,bar,94,80
P01,24,donut,58,40
P01,25,stacked,43,20
P01,26,stacked,67,50
P01,27,stacked,20,5
P01,28,stacked,11,5
P01,29,bar,43,28
P01,30,stacked,44,30
P01,31,bar,64,65
P01,32,bar,15,20
P01,33,bar,100,90
P01,34,donut,91,55
P01,35,donut,82,90
P01,36,bar,48,40
P01,37,stacked,47,30
P01,38,donut,56,50
P01,39,donut,93,90
P01,40,donut,81,80
P01,41,stacked,25,20
P01,42,stacked,69,70
P01,43,donut,41,20
P01,44,donut,17,10
P01,45,stacked,26,15
P01,46,bar,34,20
P01,47,bar,90,95
P01,48,donut,37,20
P01,49,stacked,26,15
P01,50,bar,64,65
P01,51,stacked,37,20
P01,52,donut,74,60
P01,53,bar,38,40
P01,54,stacked,29,20
P01,55,bar,39,30
P01,56,stacked,36,20
P01,57,donut,83,80
P01,58,bar,63,80
P01,59,stacked,41,30
P01,60,donut,21,10
