ParticipantID,TrialNum,Vis,TruePercent,ReportedPercent
P03,1,bar,12,10
P03,2,stacked,32,25
P03,3,stacked,39,33
P03,4,donut,83,70
P03,5,bar,42,33
P03,6,stacked,29,20
P03,7,bar,81,80
P03,8,donut,36,20
P03,9,donut,75,70
P03,10,donut,77,70
P03,11,bar,97,95
P03,12,bar,66,60
P03,13,bar,34,30
P03,14,bar,93,95
P03,15,donut,50,40
P03,16,stacked,43,40
P03,17,bar,75,80
P03,18,donut,91,100
P03,19,donut,32,20
P03,20,stacked,21,15
P03,21,donut,60,55
P03,22,stacked,41,33
P03,23,bar,30,30
P03,24,donut,13,10
P03,25,stacked,95,99
P03,26,bar,43,45
P03,27,stacked,40,30
P03,28,bar,32,25
P03,29,stacked,33,25
P03,30,bar,92,90
P03,31,stacked,64,40
P03,32,stacked,40,30
P03,33,bar,91,90
P03,34,donut,41,25
P03,35,donut,43,33
P03,36,bar,89,90
P03,37,bar,82,80
P03,38,stacked,40,33
P03,39,stacked,55,33
P03,40,stacked,49,33
P03,41,donut,16,15
P03,42,stacked,40,25
P03,43,donut,54,50
P03,44,donut,40,33
P03,45,bar,65,60
P03,46,stacked,63,55
P03,47,donut,39,30
P03,48,stacked,75,60
P03,49,bar,65,40
P03,50,stacked,47,45
P03,51,donut,20,15
P03,52,bar,15,17
P03,53,bar,62,65
P03,54,donut,21,20
P03,55,stacked,18,15
P03,56,donut,26,35
P03,57,stacked,72,75
P03,58,donut,37,35
P03,59,bar,35,30
P03,60,donut,79,85
